Cluster,GeneSymbol
Enteroendocrine,Trp53i11
Enteroendocrine,Krt20
Enteroendocrine,Ghr
Enteroendocrine,Fxyd3
Enteroendocrine,Eid1
Enteroendocrine,Cbfa2t3
Enteroendocrine,Ifi27
Enteroendocrine,Foxa2
Enteroendocrine,Fosb
Enteroendocrine,Tusc3
Enteroendocrine,Ndrg1
Enteroendocrine,Ica1
Enteroendocrine,Ttc39a
Enteroendocrine,Tubb2a
Enteroendocrine,Smox
Enteroendocrine,Btg2
Enteroendocrine,Arfgef3
Enteroendocrine,Zbtb20
Enteroendocrine,Rnase4
Enteroendocrine,Atp6v1b2
Enteroendocrine,Cacnb3
Enteroendocrine,Mical2
Enteroendocrine,Dusp16
Enteroendocrine,Pdk3
Enteroendocrine,Krt7
Enteroendocrine,Bicd1
Enteroendocrine,Hpcal1
Enteroendocrine,Junb
Enteroendocrine,Pycr2
Enteroendocrine,Aldh3b1
Enteroendocrine,S100a1
Enteroendocrine,Kdm7a
Enteroendocrine,Pkdcc
Enteroendocrine,Rab3d
Enteroendocrine,Npdc1
Enteroendocrine,Ubqln2
Enteroendocrine,Ccdc68
Enteroendocrine,Ctsl
Enteroendocrine,Tnfrsf12a
Enteroendocrine,Tspan1
Enteroendocrine,Tecpr1
Enteroendocrine,Map1lc3a
Enteroendocrine,Atf3
Enteroendocrine,Grina
Enteroendocrine,Tmem53
Enteroendocrine,Acly
Enteroendocrine,1500011B03Rik
Enteroendocrine,Parp1
Enteroendocrine,Clcn5
Enteroendocrine,Tmem106a
Enteroendocrine,Egr1
Enteroendocrine,Tmem263
Enteroendocrine,Muc3a
TA,Mns1
TA,Aurkb
TA,Esco2
TA,Mis18bp1
TA,Hist1h2ap
TA,Ankle1
TA,Neil3
TA,Top2a
TA,Pbk
TA,Hist1h1b
TA,Cit
TA,Cdca2
TA,Kif15
TA,Cdca5
TA,Ttk
TA,Psrc1
TA,Aunip
TA,Prc1
TA,Rad51ap1
TA,Mybl2
