"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Phb2",1.31832206318447e-59,-0.224905069509666,0.996,0.997,4.09378550280673e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Igbp1",1.36012788446258e-59,0.345511416047108,0.807,0.808,4.22360511962164e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Trim31",1.59386795806135e-59,-0.270338884318753,0.178,0.564,4.94943817016792e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Txnl1",1.69308310447878e-59,-0.269682279436436,0.846,0.984,5.25753096433796e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Dlgap5",1.69435786584389e-59,-0.166890324951476,0.02,0.321,5.26148948080502e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gm20275",3.30136538226449e-59,0.181840367390489,0.208,0.035,1.02517299215459e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pml",3.32865547354042e-59,-0.174445350547071,0.11,0.482,1.03364738419851e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Mrps23",3.89227341736902e-59,-0.268150837243472,0.537,0.896,1.2086676642956e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ddc",4.41027698306178e-59,0.242480076260114,0.343,0.12,1.36952331155018e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Traip",5.17860111018255e-59,-0.135460379214058,0.032,0.346,1.60811100274499e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Slc25a28",5.65456632948562e-59,-0.203367458572832,0.205,0.623,1.75591248229517e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ppp1r1b",1.22194878432953e-58,0.318735168104217,0.973,0.976,3.79451755997848e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tubg1",1.24025734554612e-58,-0.212139303052586,0.26,0.695,3.85137113512437e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pdss1",1.39724566995687e-58,0.373104236769972,0.707,0.637,4.33886697891707e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Fosb",1.55677508222378e-58,0.449074828805716,0.459,0.23,4.83425366282949e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Phlda2",1.55714197968984e-58,-0.219267220855405,0.159,0.541,4.83539298953086e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pcna",2.0180020911391e-58,-0.232624864272817,0.347,0.768,6.26650189361423e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pycr1",2.10985470805734e-58,-0.166007625141637,0.116,0.49,6.55173182493045e-54
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rcc1",2.29274487058032e-58,-0.193356512145,0.191,0.603,7.11966064661307e-54
